haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
R30a1a	14766.0	0.0	34868.0	14.766	0.0000	34.8680	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
R30a1b	22419.4	18782.0	26116.1	22.4194	18.7820	26.1161	11	rho_direct	NA	
R30a1b1	21891.8	10390.9	34015.3	21.8918	10.3909	34.0153	3	rho_fallback_no_desc	low	ci_exceeds_ancestor
R30a1b2	5881.1	2829.3	8991.8	5.8811	2.8293	8.9918	8	rho_fallback_no_desc	NA	
R30a1c	10610.1	7858.9	13404.2	10.6101	7.8589	13.4042	6	rho_fallback_no_desc	NA	
R30b	49774.1	39662.5	60173.1	49.7741	39.6625	60.1731	23	rho_direct	low	ci_exceeds_ancestor
R30b1	21248.7	18316.6	24220.1	21.2487	18.3166	24.2201	9	rho_fallback_no_desc	NA	
R30b2	31145.4	24411.9	38053.4	31.1454	24.4119	38.0534	14	single_child_interpolation	NA	
R30b2a	12516.7	9161.3	15933.7	12.5167	9.1613	15.9337	13	rho_direct	NA	
R30c		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R30d		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R31	63889.6	54832.7	73129.2	63.8896	54.8327	73.1292	17	rho_direct	low	ci_exceeds_ancestor
R31a	13370.5	9120.4	17718.1	13.3705	9.1204	17.7181	10	rho_direct	NA	
R31a1	2585.4	2585.4	2585.4	2.5854	2.5854	2.5854	3	rho_fallback_no_desc	NA	
R31a2	8793.1	7030.8	10573.6	8.7931	7.0308	10.5736	3	rho_fallback_no_desc	NA	
R31b	13370.5	9954.8	16848.8	13.3705	9.9548	16.8488	6	rho_fallback_no_desc	NA	
R32	29796.4	28913.8	30685.8	29.7964	28.9139	30.6858	13	single_child_interpolation	NA	
R32a	7891.7	6372.6	9424.5	7.8917	6.3726	9.4245	9	rho_fallback_no_desc	NA	
R33		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R34	19012.5	0.0		19.0125	0.0000	NA	1	rho_fallback_no_desc	NA	
R35		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R36		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R37		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R38	16171.7	16171.7	16171.7	16.1717	16.1717	16.1717	4	rho_fallback_no_desc	NA	
